transaction_id,amount,location,device_type,is_fraud
1,1000,USA,Mobile,0
2,500,UK,Desktop,0
3,15000,USA,Mobile,1
4,200,Canada,Tablet,0
5,8000,UK,Desktop,1
6,300,USA,Mobile,0
7,12000,USA,Desktop,1
8,400,UK,Tablet,0
9,600,Canada,Mobile,0
10,9000,USA,Desktop,1
11,100,UK,Mobile,0
12,2500,Canada,Desktop,0
13,18000,USA,Tablet,1
14,50,UK,Mobile,0
15,700,USA,Desktop,0
16,16000,UK,Mobile,1
17,800,Canada,Tablet,0
18,200,USA,Mobile,0
19,11000,UK,Desktop,1
20,3000,Canada,Mobile,0
21,100,USA,Tablet,0
22,500,UK,Mobile,0
23,15000,USA,Desktop,1
24,200,Canada,Tablet,0
25,8000,UK,Mobile,1
26,300,USA,Desktop,0
27,12000,USA,Mobile,1
28,400,UK,Tablet,0
29,600,Canada,Desktop,0
30,9000,USA,Mobile,1
31,100,UK,Desktop,0
32,2500,Canada,Tablet,0
33,18000,USA,Mobile,1
34,50,UK,Desktop,0
35,700,USA,Tablet,0
36,16000,UK,Mobile,1
37,800,Canada,Desktop,0
38,200,USA,Tablet,0
39,11000,UK,Mobile,1
40,3000,Canada,Desktop,0
41,100,USA,Mobile,0
42,500,UK,Desktop,0
43,15000,USA,Mobile,1
44,200,Canada,Tablet,0
45,8000,UK,Desktop,1
46,300,USA,Mobile,0
47,12000,USA,Desktop,1
48,400,UK,Tablet,0
49,600,Canada,Mobile,0
50,9000,USA,Desktop,1
51,100,UK,Mobile,0
52,2500,Canada,Desktop,0
53,18000,USA,Tablet,1
54,50,UK,Mobile,0
55,700,USA,Desktop,0
56,16000,UK,Mobile,1
57,800,Canada,Tablet,0
58,200,USA,Mobile,0
59,11000,UK,Desktop,1
60,3000,Canada,Mobile,0
61,100,USA,Tablet,0
62,500,UK,Mobile,0
63,15000,USA,Desktop,1
64,200,Canada,Tablet,0
65,8000,UK,Mobile,1
66,300,USA,Desktop,0
67,12000,USA,Mobile,1
68,400,UK,Tablet,0
69,600,Canada,Desktop,0
70,9000,USA,Mobile,1
71,100,UK,Desktop,0
72,2500,Canada,Tablet,0
73,18000,USA,Mobile,1
74,50,UK,Desktop,0
75,700,USA,Tablet,0
76,16000,UK,Mobile,1
77,800,Canada,Desktop,0
78,200,USA,Tablet,0
79,11000,UK,Mobile,1
80,3000,Canada,Desktop,0
81,100,USA,Mobile,0
82,500,UK,Desktop,0
83,15000,USA,Mobile,1
84,200,Canada,Tablet,0
85,8000,UK,Desktop,1
86,300,USA,Mobile,0
87,12000,USA,Desktop,1
88,400,UK,Tablet,0
89,600,Canada,Mobile,0
90,9000,USA,Desktop,1
91,100,UK,Mobile,0
92,2500,Canada,Desktop,0
93,18000,USA,Tablet,1
94,50,UK,Mobile,0
95,700,USA,Desktop,0
96,16000,UK,Mobile,1
97,800,Canada,Tablet,0
98,200,USA,Mobile,0
99,11000,UK,Desktop,1
100,3000,Canada,Mobile,0
... (900 more rows)
